openness_1,conscientiousness_1,extroversion_1,agreeableness_1,neuroticism_1,anxietybasedperformancedeficits_1,exaggeratedsafetybehavior_1,hostilebehaviors_1,Gender_1,Age_1,violations_1
1.67,3,5.33,3,3,1.43,1.57,1.86,1,1,1
5.67,4,3.67,4.67,4,2.86,3.43,3.57,1,1,2
5.33,3.33,3.33,5,3.67,3.43,4.71,4.57,2,1,2
6,3.33,3.67,3.33,4.33,3,3.71,4.43,2,2,1
1,5,3,5,5,3.71,3,2.71,1,3,2
1.33,3.33,3,3.33,3,1.86,1.71,2,2,1,2
1,3,3,3,3,1.71,1.86,2,2,2,2
3.33,3.67,3.67,3.33,3.33,1.43,1.43,1.86,2,1,1
1.6,1,2.6,3.2,3.7,3.9,6.8,3.5,2,3,2
1.3,2.2,1.7,2.6,4.9,5.2,5.2,5.4,2,2,2
2.4,3.5,3.2,1.8,6,4.4,4.5,4.6,1,3,2
3.1,2.9,2.1,2.9,5.1,6.5,6.2,6.4,2,1,2
6.67,4.67,5,5.33,5,1.43,1.71,1.86,2,3,2
2.33,3.33,3,3.33,4,1.86,2.29,2.71,1,2,1
5.67,4,4,4.33,5.33,2.29,2.86,3.86,2,1,1
4,4,5,5.67,4,1.57,1.86,2.71,1,1,1
6,2.33,3.33,1,4.67,3,3.57,4.71,2,1,1
3,3.67,3.33,3.67,3,2.29,2.29,2.14,1,1,2
5.67,3.33,3,3.33,3,3.14,4.43,3.57,1,1,2
1,3.33,3.33,3.33,3.33,2,1.57,2.29,2,3,1
3,3,2.67,3,4.67,3.57,2.86,4,2,2,2
6,4.33,4.67,4.67,3,1.71,2.43,3.57,1,1,1
5.67,4.67,4.67,4.33,1.67,1.29,2.57,3.71,2,1,1
5,4.33,4,7,2.67,0.86,2.14,3.86,1,1,1
6,6.33,4,3.67,2,1.86,3.29,3.57,1,1,2
1.67,4.33,3,3,3,1.29,2.29,1.71,2,1,1
3.67,7,6.33,5,5,2.29,4.14,4,1,1,1
5,3,3,4.33,3,2.71,3.71,3.29,1,1,2
1.67,3.33,4.67,3.33,3.67,1.43,1.71,1.86,1,3,1
5.67,4.33,5.33,3.67,2,2.71,3,3,1,1,2
6.67,4,1,4,3,2.14,3,4.57,1,2,1
2,3.33,3.33,3.33,3.33,0.86,1,1,2,1,1
1.67,3.67,3.33,3,3.67,1.14,2.29,1.71,2,1,1
5,4,3,4.33,3,2,3.57,4.43,2,1,1
7,4.67,3.33,6.67,2.67,2.71,3.43,3.57,1,1,1
1.33,3.33,4.67,3,3,2.57,2.71,2.57,2,1,2
3,3,3.67,7,2.67,3,3,4.57,2,1,2
2,3.33,3,3,2.67,1.43,1.86,1.71,2,1,1
1,3.33,3.33,3,3.33,0.86,1,1,1,1,1
4.67,4.33,4.33,4.67,4.33,3.43,4,4,2,1,1
5,4.67,3.33,5.67,2,1.57,1.43,1.71,2,2,1
4.33,5,3,4.67,3.33,2.57,5.71,4.57,1,1,1
1.33,3,3,3,3,4.71,5,4.29,2,1,2
5,3,5,3.33,1.33,3.71,4.57,4.71,2,1,2
3.67,2.33,3.67,4.67,3.67,2.29,4.43,2.71,1,2,1
1.67,3.33,3,3.67,3,1.14,1.86,1.86,2,2,1
1.67,3.33,3,3,3.33,1.29,1.57,1.86,1,1,1
3.67,4.33,5.33,6,3,3,4.14,3,1,1,2
6.33,4.33,2.67,6,1.33,1.57,2.71,4.57,1,2,2
5,4,3.33,3.67,3.67,2,2.71,2.71,1,2,1
1.33,3.33,3.67,3.33,3,1.43,2.14,2.29,2,1,2
4.33,5,4.67,4.67,4.67,4.14,5,2.57,1,1,1
5,5.33,5,5.33,1.67,1.71,3.14,4.71,2,1,1
4,4,4,4,4,3.43,4,4,2,1,1
5,5,4.67,5,1,0.86,1.71,3,2,1,1
6.67,3.67,3.33,4,3,2.57,3.14,2.86,1,1,1
5,3.33,4.67,3.67,4,4,5.14,4.86,1,2,1
3,5,3,5,3,3.43,3.57,2.71,1,2,2
5,3,7,1,1,2.86,2.43,1.71,2,2,1
5.67,4.67,5,6,4,0.86,1.43,2.14,1,1,1
6,3.67,3,1.33,3.33,3.29,4.29,3.57,2,1,1
7,4.67,3.33,4.67,3,2,3.57,2.57,1,3,1
4,3.33,4,4.67,4,2.43,3.57,3.71,1,1,2
6,4,4,4,4,3,3.14,3.71,1,1,1
4.33,2.67,2.67,3,5,3.43,4,4,1,2,2
1,3,3,3,3,0.86,1,1,1,2,2
2.67,4.33,7,3.67,3,4.29,4.71,2.29,1,2,1
4.33,5.33,4,4.67,2.33,2.71,2.57,4.57,1,1,1
6.33,3,2.67,3,2.67,2.14,4.43,3,1,1,2
1.67,3.33,3.33,3.33,3.33,1.14,1.57,1.86,2,1,1
5.33,5,1.67,5.33,4,1.14,2.71,4.57,2,1,1
5,4,2.33,4,3.33,2.14,4.43,5.29,1,1,2
5,3.33,4,4,5,1.29,1.86,1.71,2,1,1
1.67,3.67,3.33,3.67,3,1.43,2,1.86,1,1,1
1.67,3.67,3,3.33,3,1.43,1.86,1.71,2,1,1
6,3,3.33,2,3,4.86,4.71,3.71,1,1,1
3,1,3.33,2.33,3.73,3.71,6.71,3.71,1,1,2
2,5.67,3.33,5.33,3.33,0.86,2.71,4.43,1,1,1
5.33,6,4.67,5.33,1.33,1.86,2.57,3.71,1,1,1
2.67,1.33,3,2.67,3,4.14,3.29,4.14,1,1,2
5,4.33,4.33,4.33,4.67,1.14,1.29,2.29,2,1,1
2.33,3,3.67,4,3.33,2.14,4.29,2.29,1,1,1
5,5,5,7,1,2.86,4.29,4.14,2,1,1
2,3.67,5.33,5.33,1,4.29,4.43,3.57,1,1,2
6,3.67,3.67,4,3.33,3.29,3.71,4.29,1,1,1
6.67,6,3.67,5,2,2.43,3,3.71,1,1,1
1,3,3,3,3,2,2.14,2,1,1,2
6,4,4,7,4.33,0.86,1,1,2,1,2
2,3.33,3,3.67,3,2.57,1.86,2.29,2,1,1
3.67,4.67,2.33,5,3,1.29,1.71,1.57,2,1,1
3,3.33,3,3,6.33,4.29,3.14,4.57,1,2,2
6,4.33,3.33,5,2.67,2.14,4.29,4.14,1,2,1
4.33,3.67,3,5.33,5,2.57,3.57,5.14,2,1,1
1.67,3.33,3.67,3,3,1.29,2.29,3.71,2,1,1
2,3.33,3.33,3.67,3.67,1.43,2,1.86,2,3,2
2.67,3.67,3.33,4,3,2.14,3.29,3.14,2,1,2
5,4.33,4.67,4.33,3,1.86,1.71,1.57,2,1,1
7,6.33,7,5,4,2,3.29,5.14,2,1,1
5,3.33,4,2.67,2.67,3.14,3.43,2.43,2,2,1
1.67,3.67,3,4.67,3.33,3.14,4.86,5,1,2,1
2.67,4.33,5,5,3,3.57,4.57,3.43,1,1,1
6,4.67,5,7,3.67,1.43,2.29,4.43,2,2,2
5,4.67,4,6,2.67,2.86,3.57,4.86,2,1,1
1,1,3.67,7,2.67,2.14,3.29,3.86,1,2,1
